Quote,Author,Tag
"I'm going to show you my soul, you're going to see what you thought only God could see.",Oscar Wilde,Dark Academia
There were sins that were more interesting to remember than to commit.,Oscar Wilde,Dark Academia
"The soul is a terrible reality. You can buy it, sell it, traffic it. You can poison it or make it perfect. Each of us has a soul. I know this well.",Oscar Wilde,Dark Academia
"In the storm of struggle, find your anchor; it is the relentless pursuit of passion that will guide you safely to shore.",Jerome McGinn,Dark Academia
He lives the poetry that he cannot write. The others write the poetry that they dare to realize.,Oscar Wilde,Dark Academia
"Yesterday I cut an orchid, for my buttonhole.",Oscar Wilde,Dark Academia
"I tought how tragic it would be if you were wasted. For there is such a little time that your youth will last - such a little time. The common hill-flowers wither, but they blossom again. The laburnum will be as yellow next June as it is now. In a month there will be purple stars on the clematis, and year after year the green night of its leaves will hold its purple stars. But we never get back our youth. The pulse of joy that beats in us at twenty becomes sluggish. Our limbs fail, our senses rot. We degenerate into hideous puppets, haunted by the memory of the passions of which we were too much afraid, and the exquisite temptations that we had not the courage to yield to. Youth! Youth! There is absolutely nothing in the world but youth.",Oscar Wilde,Dark Academia
Be yourself... everyone else is already taken.,Oscar Wilde,Dark Academia
The only way to get rid of a temptation is to surrender to it.,Oscar Wilde,Dark Academia
"All women become like their mothers. That is their tragedy. No man does, and that is his.",Oscar Wilde,Dark Academia
"Oh, nowadays so many conceited people go about  society pretending to be good, that I think it shows rather a sweet and modest disposition to pretend to be bad.",Oscar Wilde,Dark Academia
"But you were simple, natural, and affectionate then. You were the most unspoiled creature in the whole world. Now I don't know what has come over you. [...]",Oscar Wilde,Dark Academia
"Of course I could never let you know anything about this. It would have been impossible. You would not have understood it. I hardly understood it myself. I only knew that I had seen perfection face to face, and that the world had become wonderful to my eyes— too wonderful, perhaps, for in such mad worships there is peril, the peril of losing them, no less than the peril of keeping them.",The Picture of Dorian Gray,Dark Academia
"I have no doubt we shall win, but the road is long, and red with monstrous martyrdoms.",Oscar Wilde,Dark Academia
A glass of absinthe is as poetical as anything in the world. What difference is there between a glass of absinthe and a sunset?,Oscar Wilde Centre,Dark Academia
A book is not a book unless you need to read it twice.,Oscar Wilde,Dark Academia
"We are all in the gutter, but some of us are looking at the stars",Siobhan Curham,Dark Academia
"Indeed, Basil, conscience and cowardice are actually one and the same. Conscience is just the name under which that company is registered in the commercial register. And nothing else.",Oscar Wilde,Dark Academia
"For our sake, courage has run out. Perhaps we never had it. Fear of society, which is the foundation of morality, and fear of God, which is the secret of every religion - these two fears take hold of us.",Oscar Wilde,Dark Academia
"There are sins whose enchanting charm comes more strongly from the expression of memory than from the sin itself. There are strange triumphs that appeal more to pride than to passion, triumphs that give the spirit greater pleasure than any our senses have ever given us or can ever give us.",Oscar Wilde,Dark Academia
"Human life is too short to carry the burden of other people's sins. Everyone lives their own life and pays the price for it. The only misfortune is that for one single mistake one had to pay so often. And indeed, one had to pay, and again only pay. Fate never finishes the accounts it has with a person.",Oscar Wilde,Dark Academia
"In this world there is only one thing worse than being the talk of the town, and that is not being it.",Oscar Wilde,Dark Academia
